Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
164,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000","Construction, Machinery and Homes","Construction, Machinery and Homes",AZ,Yes,Yes,No,,,Yes,12,12,Yes,Yes,12,12,Yes,12,12,Yes,No,,,Yes,Yes,12,12,Yes,6,6,3,6,Upon USCIS approval,Yes,No,None of the above,All,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,No,4403e7f6-82e6-4b1c-9c13-acac2b8d5ca5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,47,#REF!,#REF!,1
235,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Manufacturing,Manufacturing,TX,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,None,None,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,I don't know,I don't know,aefb23e2-c448-4c14-b4ca-b6846316d603,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,37,#REF!,#REF!,1
299,It is a primary function of my job role,3. 51-200,"Utilities, Energy, and Extraction","Utilities, Energy, and Extraction",NV,No,Yes,I don't know,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,We only cover the cost when necessary due to a business need,I don't know,No,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,c53cd4e9-9689-4179-92bb-48d874af524f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,2,7,#REF!,#REF!,1
62,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Advertising & Marketing,Advertising & Marketing,AR,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,7,12,Upon USCIS issuance of receipt notice,No,I don't know,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,09c02764-8e10-4df4-80e8-dad6de505f92,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,17,#REF!,#REF!,1
110,It is a primary function of my job role,4. 201-500,Finance & Financial Services,Finance & Financial Services,TX,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,6,6,Upon USCIS approval,I don't know,No,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,c10119b7-7a3b-4a46-91ba-c26c9c7552b9,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,24,#REF!,#REF!,1
138,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MD,Yes,Yes,No,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,15,24,Upon USCIS approval,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,No,,We cover some costs for dependent family members,I don't know,,,,,Human Resources,I don't know,Yes,a18b5ca6-cd54-48b7-a350-71a8837cb1c1,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,98,#REF!,#REF!,1
121,It is a primary function of my job role,4. 201-500,Entertainment & Leisure,Entertainment & Leisure,GA,No,Yes,Yes,5,6,Yes,5,6,Yes,Yes,5,6,Yes,5,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,5,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,20,24,,,Human Resources,Always,Yes,72c4f5d4-8697-471e-b21a-afff373f5677,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,8,#REF!,#REF!,1
137,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,"Construction, Machinery and Homes","Construction, Machinery and Homes",PA,Yes,Yes,No,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,No,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Always,Yes,5623ea55-58c4-4491-938d-8c62fa33fcbb,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,47,#REF!,#REF!,1
268,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Real Estate,HOTEL,AZ,Yes,Yes,No,,,No,,,No,,,,,,,No,,,,Yes,No,,,No,,,,,Immediately upon USCIS receipt of application,No,No,None of the above,I don't know,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,5fcdc10c-3f34-43bb-b9c3-28264547cd1b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,7,#REF!,#REF!,1
239,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Retail & Consumer Durables,Retail & Consumer Durables,MD,Yes,No,,,,,,,Yes,I don't know,,,Yes,,,Yes,Yes,,,Yes,No,,,Yes,,,,,Upon USCIS approval,I don't know,No,None of the above,Some,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,No,9dfb14da-26e8-4ee9-85c8-554ef7a1149e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,46,#REF!,#REF!,1
250,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TX,Yes,Yes,Yes,12,12,Yes,6,6,Yes,Yes,6,6,Yes,6,6,No,,,,No,,,,,,,12,12,Upon USCIS approval,Yes,Yes,None of the above,I don't know,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,12,12,50,50,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,f861f917-baa6-4e07-bc40-37780d38ef52,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,98,#REF!,#REF!,1
195,It is a primary function of my job role,2. 11-50,Government,Government,MD,Yes,Yes,No,,,Yes,,,No,I don't know,,,I don't know,,,No,I don't know,,,No,,,,,,,,,Upon USCIS approval,No,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,None,No,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,abdf8c40-7be8-4759-a828-5f6fd7693ca3,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,20,#REF!,#REF!,1
191,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Entertainment & Leisure,Entertainment & Leisure,AK,Yes,Yes,No,,,Yes,6,6,Yes,Yes,6,6,Yes,,,Yes,Yes,2,6,Yes,Yes,,,Yes,,,,,Immediately upon USCIS receipt of application,I don't know,No,None of the above,All,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,I don't know,Yes,,,,,Human Resources,Sometimes,Yes,131c47cf-3d91-4c4e-a83e-04ff04dd595a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,8,#REF!,#REF!,1
483,It is a primary function of my job role,1. 1-10,Government,Government,IL,Yes,Yes,Yes,,,Yes,1,6,Yes,Yes,1,6,Yes,2,6,Yes,Yes,1,6,Yes,Yes,1,6,Yes,1,6,1,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,Some,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Always,Yes,0f046b0f-b384-4f24-9a55-c730fac39c63,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,14,20,#REF!,#REF!,1
260,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Food & Beverages,Food & Beverages,PA,No,No,,,,,,,Yes,Yes,10,12,Yes,6,6,No,,,,Yes,Yes,7,12,Yes,5,6,6,6,Upon USCIS approval,No,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,No,,We cover all costs for all dependent family members,Yes,8,12,7,5,Human Resources,Sometimes,Yes,2fd569f6-ffca-46ab-bf00-d0c3059ebb27,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,30,#REF!,#REF!,1
612,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,OH,Yes,Yes,Yes,1,6,Yes,9,12,No,,,,,,,Yes,Yes,1,6,Yes,Yes,1,6,Yes,,,9,12,Immediately upon USCIS receipt of application,Yes,No,None of the above,All,None,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,81daf02a-faeb-4f8f-b962-fcec070c4dc5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,16,98,#REF!,#REF!,1
142,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000","Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",NY,No,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,Yes,I don't know,,,I don't know,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,Human Resources,I don't know,I don't know,22342d78-43a1-4f4d-8413-d3a2b83c66ad,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,24,#REF!,#REF!,1
91,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TX,Yes,Yes,I don't know,,,Yes,12,12,No,,,,,,,Yes,Yes,5,6,Yes,No,,,Yes,4,6,7,12,Immediately upon USCIS receipt of application,No,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,No,,We cover all costs for all dependent family members,No,,,,,Human Resources,Always,No,89575c04-4584-4929-900d-813866b2ead6,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,98,#REF!,#REF!,1
130,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Education,Education,CA,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,No,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,I don't know,I don't know,dd90f786-ca5e-42dd-90b0-1d5adc771b87,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,46,#REF!,#REF!,1
268,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,CA,Yes,Yes,Yes,6,6,Yes,6,6,Yes,No,,,Yes,8,12,No,,,,Yes,Yes,6,6,Yes,8,12,6,6,Upon USCIS approval,Yes,No,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,e8dde5aa-6998-4224-8a4a-76c9acb7f2d5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,98,#REF!,#REF!,1
157,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Manufacturing,Manufacturing,AL,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,No,,,,,Human Resources,Sometimes,Yes,fe885be9-5be8-4231-9d9d-4f7be9bc8632,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,37,#REF!,#REF!,1
158,It is a primary function of my job role,2. 11-50,Food & Beverages,Food & Beverages,WA,Yes,Yes,Yes,6,6,Yes,18,24,Yes,Yes,6,6,Yes,18,24,Yes,Yes,12,12,Yes,Yes,6,6,Yes,12,12,18,24,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,6,6,75,75,Human Resources,Always,Yes,8a69f392-6485-4c7d-9753-28cb818b357f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,30,#REF!,#REF!,1
233,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,No,I don't know,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,I don't know,I don't know,,We cover no costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,No,aaa7f891-e596-4e9c-a428-2701280ab742,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,98,#REF!,#REF!,1
99,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,IN,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Never,I don't know,c9ac8b16-5d35-4572-84c1-907f34a15baa,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
73,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MS,No,Yes,No,,,I don't know,,,Yes,I don't know,,,I don't know,,,No,,,,Yes,No,,,I don't know,,,12,12,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,Some,We cover all costs for all dependent family members,I don't know,None,I don't know,,We cover all costs for all dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,20f5f32a-00ae-4b21-8110-950e21c587e4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,4,98,#REF!,#REF!,1
5211,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Manufacturing,Manufacturing,MO,Yes,Yes,Yes,7,12,Yes,9,12,Yes,Yes,12,12,Yes,12,12,Yes,No,,,No,,,,,,,12,12,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,None,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,No,,We cover no costs for dependent family members,Yes,12,12,25,25,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,7f242f29-316f-455c-b806-7f2c5004e67e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,37,#REF!,#REF!,1
2750,"It is a part of my job role, and I collaborate with others as needed",1. 1-10,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TX,Yes,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,I don't know,,,Yes,I don't know,,,Yes,I don't know,,,I don't know,,,,,Immediately upon USCIS receipt of application,I don't know,No,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,I don't know,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,8690a609-8aa0-4610-9066-1ea9fb279354,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,98,#REF!,#REF!,1
383,"It is a part of my job role, and I collaborate with others as needed",1. 1-10,"Construction, Machinery and Homes","Construction, Machinery and Homes",TX,No,Yes,No,,,I don't know,,,No,,,,,,,No,,,,Yes,No,,,No,,,,,Upon USCIS issuance of receipt notice,No,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,No,c9ada060-c8d7-4934-a040-54df39fe4987,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,47,#REF!,#REF!,1
310,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Advertising & Marketing,Advertising & Marketing,KY,No,No,,,,,,,Yes,I don't know,,,I don't know,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Never,No,7c7b0109-e051-49fc-b0cd-a771b41f128f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,17,#REF!,#REF!,1
171,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,NY,Yes,Yes,No,,,Yes,12,12,Yes,Yes,12,12,Yes,12,12,No,,,,No,,,,,,,3,6,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Always,Yes,7983296b-3546-4505-a3eb-a45406e6e082,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,98,#REF!,#REF!,1
65,It is a primary function of my job role,"5. 501-1,000",Airlines & Aerospace (including Defense),Airlines & Aerospace (including Defense),AK,No,Yes,No,,,I don't know,,,No,,,,,,,Yes,Yes,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,None,We cover all costs for all dependent family members,I don't know,Some,No,,We cover all costs for all dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,8271d11a-8cd9-40a6-8724-f1c3b9cd42f0,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,5,#REF!,#REF!,1
467,It is a primary function of my job role,1. 1-10,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AR,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,I don't know,I don't know,None of the above,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Always,I don't know,4c0e1731-73ed-47f4-a9cb-7e41d4422a36,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
121,It is a primary function of my job role,"8. 10,000+",Real Estate,Real Estate,MA,No,Yes,Yes,6,6,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,1,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Always,No,3ab3ac89-b2f7-4e65-b441-39be4f4bbc2a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,7,#REF!,#REF!,1
237,"It is a part of my job role, and I collaborate with others as needed",2. 11-50,Advertising & Marketing,Advertising & Marketing,AR,Yes,Yes,I don't know,,,No,,,Yes,I don't know,,,Yes,,,Yes,Yes,,,No,,,,,,,,,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,I don't know,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,No,,I don't know,No,,,,,Human Resources,Always,Yes,41e5cbba-9be5-4464-b80b-eb0ffc7dadb8,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,17,#REF!,#REF!,1
179,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Retail & Consumer Durables,Retail & Consumer Durables,NC,Yes,Yes,Yes,4,6,Yes,,,Yes,Yes,7,12,Yes,7,12,Yes,Yes,3,6,Yes,Yes,6,6,Yes,2,6,7,12,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover no costs for dependent family members,Yes,8,12,,,Human Resources,Always,Yes,521ed4e2-a335-4d34-ad25-0cd426d33507,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,18,46,#REF!,#REF!,1
373,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AL,Yes,Yes,Yes,36,36,Yes,12,12,Yes,No,,,Yes,18,24,No,,,,No,,,,,,,6,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,None,No,,We cover no costs for dependent family members,Yes,18,24,75,75,Human Resources,Always,Yes,61bb4302-694d-45a4-96bb-5f3e149c9552,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,98,#REF!,#REF!,1
139,"It is a part of my job role, and I collaborate with others as needed",1. 1-10,Business Support & Logistics,Administrative,NC,Yes,Yes,Yes,2,6,Yes,2,6,Yes,No,,,Yes,2,6,No,,,,Yes,No,,,Yes,2,6,2,6,Upon USCIS issuance of receipt notice,I don't know,I don't know,None of the above,Some,Some,We cover some costs for dependent family members,I don't know,Some,I don't know,,I don't know,I don't know,,,,,Human Resources,Sometimes,No,c06e9eb6-055d-4358-93ba-6dab1293919d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,18,53,#REF!,#REF!,1
251,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Business Support & Logistics,Security,TN,Yes,Yes,No,,,Yes,6,6,Yes,I don't know,,,Yes,6,6,Yes,No,,,Yes,Yes,3,6,Yes,6,6,6,6,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,12,12,75,75,Human Resources,Always,Yes,92667681-5138-487d-bc0d-9b845a32c634,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,53,#REF!,#REF!,1
608,It is a primary function of my job role,"6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,MN,Yes,Yes,No,,,Yes,7,12,Yes,Yes,6,6,Yes,6,6,No,,,,Yes,Yes,6,6,Yes,6,6,12,12,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover all costs for all dependent family members,Yes,9,12,75,75,Human Resources,Always,Yes,b96ac3af-6cc9-44ad-830e-840ddfff3440,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,24,#REF!,#REF!,1
1292,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Advertising & Marketing,Advertising & Marketing,MO,Yes,Yes,I don't know,,,Yes,3,6,No,,,,,,,No,,,,Yes,I don't know,,,Yes,3,6,6,6,Immediately upon USCIS receipt of application,Yes,I don't know,None of the above,Some,I don't know,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Always,Yes,2a5d9f36-a80e-42a9-992d-ae52a9f75061,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,17,#REF!,#REF!,1
173,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Manufacturing,Manufacturing,GA,Yes,Yes,Yes,24,24,I don't know,,,Yes,Yes,12,12,Yes,24,24,Yes,I don't know,,,No,,,,,,,1,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,efefd5da-af41-41b6-a466-b025e2fbae33,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,37,#REF!,#REF!,1
551,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Government,Government,NY,Yes,No,,,,,,,No,,,,,,,Yes,I don't know,,,No,,,,,,,,,Upon USCIS approval,I don't know,Yes,None of the above,I don't know,I don't know,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,I don't know,No,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Always,I don't know,9ab8d9ee-7b08-4be3-96c9-d2b00a8eddfb,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,20,#REF!,#REF!,1
